Car_Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
VW,Polo,1.0,Petrol,1987,422895,76
Ford,Fiesta,1.2,Petrol,1984,396901,85
Ford,Fiesta,1.4,Petrol,1984,395085,94
Ford,Fiesta,1.0,Petrol,1985,375388,103
Ford,Fiesta,1.2,Petrol,1986,391920,103
VW,Passat,1.4,Diesel,1985,423053,122
Ford,Mondeo,2.0,Diesel,1984,423108,129
VW,Passat,1.4,Diesel,1984,408775,131
VW,Polo,1.0,Petrol,1986,360154,131
Ford,Fiesta,1.4,Petrol,1985,368573,131
Ford,Fiesta,1.2,Petrol,1986,365876,133
VW,Golf,2.0,Diesel,1987,421979,135
Ford,Fiesta,1.0,Petrol,1985,348153,135
VW,Polo,1.0,Petrol,1985,348383,138
VW,Polo,2.0,Petrol,1988,396431,149
Ford,Mondeo,1.6,Diesel,1987,417511,149
Ford,Fiesta,1.4,Petrol,1987,367929,150
VW,Polo,2.0,Petrol,1985,373208,153
VW,Polo,1.0,Petrol,1990,370744,155
Ford,Mondeo,1.6,Diesel,1987,413340,155
Ford,Focus,2.0,Petrol,1986,413326,156
VW,Passat,1.4,Petrol,1988,412764,157
VW,Polo,1.0,Petrol,1984,327833,157
Ford,Focus,1.4,Diesel,1986,398089,159
VW,Polo,1.6,Petrol,1987,369995,161
VW,Polo,1.6,Petrol,1984,349757,161
Ford,Fiesta,1.2,Petrol,1990,372726,162
Ford,Fiesta,1.2,Petrol,1987,350314,165
Ford,Fiesta,1.0,Petrol,1985,326660,166
BMW,X3,3.0,Diesel,1986,446897,167
VW,Passat,1.4,Diesel,1984,384081,167
VW,Polo,1.0,Petrol,1990,361535,169
VW,Polo,1.4,Petrol,1988,365553,169
Ford,Fiesta,1.0,Petrol,1986,331165,170
VW,Passat,2.0,Diesel,1985,405549,173
Ford,Fiesta,1.4,Petrol,1991,379593,175
Toyota,Prius,1.0,Hybrid,1986,388340,176
Ford,Mondeo,1.6,Diesel,1985,385975,178
Toyota,Yaris,1.0,Petrol,1986,341124,178
VW,Polo,1.4,Petrol,1986,345807,179
Ford,Fiesta,1.4,Petrol,1987,348997,181
VW,Golf,1.2,Petrol,1988,368163,181
Ford,Fiesta,1.4,Petrol,1985,335145,181
